"","t","sigma","pop_size","inference_model","file","demography","replication","sample_size","mutation_rate","recombination_rate","chromosome_length"
"1",0,0.99,21166.0624973595,"Free","results/esmc/demographic_scenario_16/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",16,2,20,1e-08,1e-08,1e+06
"2",90.3167176907531,0.99,21166.0624973595,"Free","results/esmc/demographic_scenario_16/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",16,2,20,1e-08,1e-08,1e+06
"3",111.127708669075,0.988065816240858,21493.835945012,"Free","results/esmc/demographic_scenario_16/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",16,2,20,1e-08,1e-08,1e+06
"4",136.73401724278,0.988065816240858,21493.835945012,"Free","results/esmc/demographic_scenario_16/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",16,2,20,1e-08,1e-08,1e+06
"5",168.240591795373,0.99,22958.7497920381,"Free","results/esmc/demographic_scenario_16/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",16,2,20,1e-08,1e-08,1e+06
"6",207.006985521386,0.99,22958.7497920381,"Free","results/esmc/demographic_scenario_16/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",16,2,20,1e-08,1e-08,1e+06
"7",254.706023067081,0.99,23886.9240076964,"Free","results/esmc/demographic_scenario_16/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",16,2,20,1e-08,1e-08,1e+06
"8",313.395985276767,0.99,23886.9240076964,"Free","results/esmc/demographic_scenario_16/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",16,2,20,1e-08,1e-08,1e+06
"9",385.609426918532,0.988543794494509,22561.9196952099,"Free","results/esmc/demographic_scenario_16/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",16,2,20,1e-08,1e-08,1e+06
"10",474.462459999681,0.988543794494509,22561.9196952099,"Free","results/esmc/demographic_scenario_16/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",16,2,20,1e-08,1e-08,1e+06
