"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,8114.25527720541,16439.2938333246,24986.3593910743,33767.6200370938,42796.272408277,52086.6609835015,61654.4151874922,71516.6075968827,81691.9372701048,92200.9431463316,103066.253632948,114312.88000516,125968.563183425,138064.185983326,150634.266255569,163717.550743214,177357.73539537,191604.345893613,206513.823151491,222150.873852452,238590.167685777,255918.493889546,274237.534835954,293667.481449335,314351.816998784,336463.753857612,360215.059835778,385868.424595666,413755.219746065,444301.747704904,478069.367741998,515818.355301787,558614.627710064,608019.298448118,666452.621557356,737969.229154239,830170.172300571,960120.103006691,1182270.97685914
"2",0,8042.87056117988,16294.6700469312,24766.5432639364,33470.5512507595,42419.7745476048,51628.4314385831,61112.0138494122,70887.4441616683,80973.2569298419,91389.8104029144,102159.533916097,113307.218709273,124860.361653674,136849.573875003,149309.069555069,162277.254564583,175797.440439936,189918.717163235,204697.029112188,220196.513716738,236491.183763669,253667.064967497,271824.945155321,291083.957878406,311586.324119652,333503.732426011,357046.087591741,382473.76828132,410115.230879973,440393.027433475,473863.578684235,511280.471595144,553700.246142748,602670.281998058,660589.541150213,731476.985311882,822866.795714796,951673.499028619,1171870.01274536
"3",0,8309.95720627627,16835.7814228612,25588.9875517913,34582.0371530989,43828.4451439401,53342.9019674358,63141.4140032459,73241.465589289,83662.2067732354,94424.6718582663,105552.035010167,117069.910733229,129006.709011365,141394.057500733,154267.306563434,167666.137447555,181635.299973603,196225.514297702,211494.582591495,227508.772152723,244344.553575584,262090.809305822,280851.674120158,300750.237742012,321933.444010989,344578.682885952,368902.829653455,395174.909600278,423734.286450425,455017.544305445,489599.581458544,528259.009894734,572087.455038674,622683.681753001,682526.316458168,755767.782047457,850192.453905724,983276.55420018,1210785.3263529
"4",0,7902.66257313696,16010.6119005611,24334.7985062158,32887.0731736402,41680.2884154692,50728.4146544322,60046.6737520054,69651.6930889873,79561.6841147561,89796.6501814802,100378.629623181,111331.981504457,122683.72335512,134463.932669964,146706.22718932,159448.343270468,172732.837417957,186607.943848833,201128.631685937,216357.920278307,232368.532178869,249244.993451948,267086.33493274,286009.613367295,306154.570459788,327689.901782764,350821.852948272,375806.263548775,402965.86412714,432715.840556615,465602.913730255,502367.533645602,544047.822061071,592164.183827082,649073.760834922,718725.45392391,808522.10410539,935083.374202217,1151441.29448052
"5",0,8323.80445379406,16863.8356265991,25631.6276082397,34639.6627239943,43901.4784115205,53431.7895932713,63246.6293210415,73363.5110676718,83801.6167914,94582.0158457925,105727.921012767,117264.989479192,129221.678569787,141629.668643264,154524.368967591,167945.526913464,181937.966869986,196552.493510511,211847.005324985,227887.880035262,244751.715661862,262527.542759257,281319.669628534,301251.391102934,322469.895881055,345152.869514455,369517.548678527,395833.406948727,424440.373545774,455775.760070525,490415.422794519,529139.271138197,573040.749549717,623721.286983989,683663.640105787,757027.151173459,851609.167019252,984915.031208721,1212802.91124398
"6",0,4167.49680638426,8443.25230216175,12833.0412845151,17343.11330568,21980.246183242,26751.8072685929,31665.8238637343,36731.0644762082,41957.1329776746,47354.5782060101,52935.0221539041,58711.3106594502,64697.6915116901,70910.0261829226,77366.0431063402,84085.6426822184,91091.2672323902,98408.3532402726,106065.88886546,114097.107582548,122540.35988471,131440.220888229,140848.914851141,150828.172058757,161451.685788559,172808.418241999,185007.133765471,198182.750264767,212505.460822821,228194.215165097,245537.328470777,264925.279641305,286905.525824547,312279.857847315,342291.322747645,379022.387223854,426376.965429864,493119.494806402,607216.60238895
"7",0,8429.57405890257,17078.122404327,25957.3256884218,35079.8248479062,44459.3293390672,54110.7410651485,64050.29680805,74295.732582254,84866.4740888875,95783.8584073169,107071.393281552,118755.061921321,130863.683255223,143429.340200567,156487.891966728,170079.590989571,184249.831236444,199050.062949715,214538.920328638,230783.624548982,247861.746953309,265863.449396888,284894.36561413,305079.357131236,326567.482956299,349538.686470303,374212.964749549,400863.215538553,429833.687498696,461567.249097963,496647.07394587,535862.981680217,580322.311019284,631646.840087534,692350.873646945,766646.606229199,862430.464636516,997430.23077818,1228213.85532716
"8",0,7605.92768516725,15409.4338691481,23421.0578976957,31652.2055725605,40115.2468109407,48823.6274640322,57791.9978318513,67036.3609582802,76574.2444760291,86424.9006369364,96609.5402637238,107151.607769221,118077.106209497,129414.983707823,141197.595701312,153461.261595217,166246.939951685,179601.053854507,193576.508406157,208233.956659593,223643.390528741,239886.162232153,257057.584123625,275270.317617873,294658.857296529,315385.564428813,337648.940367416,361695.218254809,387835.0105141,416467.913319185,448120.118891746,483504.274277465,523619.521088406,569929.174914402,624701.869978778,691738.230937058,778163.131573994,899972.18759665,1108206.14425624
"9",0,8237.78792005108,16689.5681153591,25366.7554847666,34281.7033636942,43447.8092966208,52879.636144928,62593.0512780538,72605.3871881062,82935.6276107955,93604.6241731938,104635.349780964,116053.196484727,127886.327536888,140166.095917657,152927.544982693,166210.0113613,180057.856236288,194521.35927566,209657.820657921,225532.9321708,242222.500286159,259814.635534494,278412.568315728,298138.319358906,319137.556343993,341586.128655527,365699.028088457,391742.9435321,420054.291446459,451065.864341599,485347.567705293,523671.251529706,567119.060826326,617275.875702899,676598.796512399,749204.183700505,842808.807873699,974737.115871305,1200270.0480421
"10",0,7377.8979773614,14947.4509463433,22718.8822775763,30703.2558208823,38912.5706368433,47359.8694629725,56059.3633755951,65026.5756389306,74278.508398052,83833.8367121738,93713.1354924089,103939.146275774,114537.092533056,125535.054507583,136964.417603465,148860.412351104,161262.769353439,174216.519905817,187772.982987948,201990.993242396,216938.444188739,232694.249063278,249350.862705368,267017.568881326,285824.82995457,305930.13951817,327526.047749979,350851.4055935,376207.513148213,403981.986484792,434685.242305674,469008.562123722,507921.132760565,552842.398835896,605972.979727187,670999.555366118,754833.392078292,872990.548608514,1074981.54185091
