"","t","sigma","pop_size","inference_model","file","demography","replication","sample_size","mutation_rate","recombination_rate","chromosome_length"
"1",0,0.99,33635.7362395358,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"2",147.413084760372,0.99,33635.7362395358,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"3",181.380355222292,0.99,34275.2408060119,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"4",223.174444209234,0.99,34275.2408060119,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"5",274.598825694544,0.99,37367.7468246415,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"6",337.872534375522,0.99,37367.7468246415,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"7",415.725920154969,0.99,43472.930556464,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"8",511.518466596072,0.99,43472.930556464,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"9",629.383757383379,0.99,50907.686095596,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"10",774.407846297415,0.99,50907.686095596,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"11",952.848727619289,0.99,53709.7548855581,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"12",1172.40637742326,0.99,53709.7548855581,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"13",1442.55501842043,0.989460421858195,58895.1491118597,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"14",1774.95194605095,0.989460421858195,58895.1491118597,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"15",2183.94055724804,0.989529033275625,28506.7261560102,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"16",2687.16928827547,0.989529033275625,28506.7261560102,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"17",3306.3531696805,0.99,49899.4485645642,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"18",4068.21086053424,0.99,49899.4485645642,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"19",5005.6175963102,0.99,76334.8533412609,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"20",6159.02380173084,0.99,76334.8533412609,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"21",7578.20058372999,0.984909166157351,52691.2385559117,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"22",9324.38742501799,0.984909166157351,52691.2385559117,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"23",11472.9347542606,0.987972163593446,59463.7695807161,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"24",14116.5554235072,0.987972163593446,59463.7695807161,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"25",17369.3253987126,0.99,54926.4251956144,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"26",21371.6062987984,0.99,54926.4251956144,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"27",26296.1021977682,0.99,103491.006459005,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"28",32355.3120494434,0.99,103491.006459005,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"29",39810.6993174717,0.951126621695479,78632.7428678432,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
"30",48983.9744930973,0.951126621695479,78632.7428678432,"Free","results/esmc/demographic_scenario_15/rep_1.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",15,1,20,1e-08,1e-08,1e+06
