"","t","sigma","pop_size","inference_model","file","demography","replication","sample_size","mutation_rate","recombination_rate","chromosome_length"
"1",0,0.99,30741.2124320647,"Free","results/esmc/demographic_scenario_11/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",11,2,20,1e-08,1e-08,1e+06
"2",135.060784972076,0.99,30741.2124320647,"Free","results/esmc/demographic_scenario_11/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",11,2,20,1e-08,1e-08,1e+06
"3",166.181809400831,0.973850695070143,30758.9463044882,"Free","results/esmc/demographic_scenario_11/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",11,2,20,1e-08,1e-08,1e+06
"4",204.473813634682,0.973850695070143,30758.9463044882,"Free","results/esmc/demographic_scenario_11/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",11,2,20,1e-08,1e-08,1e+06
"5",251.589151743233,0.985649196337952,31435.7982152986,"Free","results/esmc/demographic_scenario_11/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",11,2,20,1e-08,1e-08,1e+06
"6",309.560917115615,0.985649196337952,31435.7982152986,"Free","results/esmc/demographic_scenario_11/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",11,2,20,1e-08,1e-08,1e+06
"7",380.890673311943,0.99,33549.8182389339,"Free","results/esmc/demographic_scenario_11/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",11,2,20,1e-08,1e-08,1e+06
"8",468.656400064359,0.99,33549.8182389339,"Free","results/esmc/demographic_scenario_11/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",11,2,20,1e-08,1e-08,1e+06
"9",576.645312450073,0.99,38641.2939501075,"Free","results/esmc/demographic_scenario_11/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",11,2,20,1e-08,1e-08,1e+06
"10",709.517284571338,0.99,38641.2939501075,"Free","results/esmc/demographic_scenario_11/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",11,2,20,1e-08,1e-08,1e+06
"11",873.005929704963,0.99,40019.1591673343,"Free","results/esmc/demographic_scenario_11/rep_2.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",11,2,20,1e-08,1e-08,1e+06
