"","t","sigma","pop_size","inference_model","file","demography","replication","sample_size","mutation_rate","recombination_rate","chromosome_length"
"1",0,0.99,38964.5871505255,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"2",170.195128605126,0.99,38964.5871505255,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"3",209.411891309936,0.971180321530618,39146.0986330568,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"4",257.665072916098,0.971180321530618,39146.0986330568,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"5",317.036866366852,0.980548486065861,40675.2540017831,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"6",390.089248411415,0.980548486065861,40675.2540017831,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"7",479.974532520465,0.99,38948.775730048,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"8",590.571395664997,0.99,38948.775730048,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"9",726.652248706198,0.99,35002.5820586632,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"10",894.089172665073,0.99,35002.5820586632,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"11",1100.10730731273,0.970682389270751,32194.1342694506,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"12",1353.5966261569,0.970682389270751,32194.1342694506,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"13",1665.4955513558,0.0375142427496357,39744.9710686269,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"14",2049.26296208455,0.0375142427496357,39744.9710686269,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"15",2521.45896418214,0.0322231409238923,39073.5343649018,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"16",3102.45948210923,0.0322231409238923,39073.5343649018,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"17",3817.33550886938,0.025992709795103,48193.1972764052,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"18",4696.93495476953,0.025992709795103,48193.1972764052,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"19",5779.21377832203,0.364999484563859,50950.6275675236,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"20",7110.87383946667,0.364999484563859,50950.6275675236,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"21",8749.3781507928,0.52723062674093,51934.2244631293,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"22",10765.4304876983,0.52723062674093,51934.2244631293,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"23",13246.0263561658,0.351145659518714,50546.4336954664,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"24",16298.2069717265,0.351145659518714,50546.4336954664,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"25",20053.6782391034,0.179081284310816,48723.5946107328,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"26",24674.4940480339,0.179081284310816,48723.5946107328,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"27",30360.0491275101,0.318217283054485,46299.7808061382,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"28",37355.6832099774,0.318217283054485,46299.7808061382,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
"29",45963.2677873282,0.391340003933368,43916.9542479522,"Free","results/esmc/demographic_scenario_1/rep_8.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",1,8,20,1e-08,1e-08,1e+06
