"","t","sigma","pop_size","inference_model","file","demography","replication","sample_size","mutation_rate","recombination_rate","chromosome_length"
"1",0,0.984116960098189,22768.2051861807,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"2",100.474392648827,0.984116960098189,22768.2051861807,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"3",123.625939033923,0.980182750491508,22988.9438368541,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"4",152.112119308219,0.980182750491508,22988.9438368541,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"5",187.162152386877,0.99,23963.5842597533,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"6",230.288496704916,0.99,23963.5842597533,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"7",283.35211493501,0.99,25228.5964607616,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"8",348.642777155394,0.99,25228.5964607616,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"9",428.977867663015,0.99,25781.9754802802,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"10",527.823959085453,0.99,25781.9754802802,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"11",649.446399886287,0.99,32838.6707356346,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"12",799.093370176049,0.99,32838.6707356346,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"13",983.222348096965,0.99,66270.250613586,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"14",1209.77875912589,0.99,66270.250613586,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"15",1488.53883240645,0.99,85528.4491872271,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"16",1831.53145884535,0.99,85528.4491872271,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"17",2253.55725474566,0.99,77210.3175104675,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"18",2772.82722930591,0.99,77210.3175104675,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"19",3411.74861538987,0.988234788498993,67851.6367732628,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"20",4197.89177327445,0.988234788498993,67851.6367732628,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"21",5165.17989063846,0.99,16935.4825510104,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"22",6355.3528160269,0.99,16935.4825510104,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"23",7819.76819227266,0.99,41092.2336898761,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"24",9621.6176113267,0.99,41092.2336898761,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"25",11838.653420708,0.989795341392986,19139.6632567181,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"26",14566.543847123,0.989795341392986,19139.6632567181,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"27",17923.001215578,0.972041737904443,38875.4750069051,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"28",22052.8614024704,0.972041737904443,38875.4750069051,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"29",27134.3337082335,0.99,89952.2335526645,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"30",33386.6908403686,0.99,89952.2335526645,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"31",41079.7308404931,0.99,49589.0485890236,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
"32",50545.4192509225,0.99,49589.0485890236,"Free","results/esmc/demographic_scenario_17/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",17,6,20,1e-08,1e-08,1e+06
