"","t","sigma","pop_size","inference_model","file","demography","replication","sample_size","mutation_rate","recombination_rate","chromosome_length"
"1",0,0.973210460330201,19706.0374688436,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"2",112.609132057301,0.973210460330201,19706.0374688436,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"3",138.556793700025,0.98301165856516,21700.7856177958,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"4",170.483376700413,0.98301165856516,21700.7856177958,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"5",209.766558210776,0.99,22040.7858951515,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"6",258.101463000224,0.99,22040.7858951515,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"7",317.57381048279,0.99,24541.5078533594,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"8",390.749916456193,0.99,24541.5078533594,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"9",480.7874332534,0.99,34331.946218705,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"10",591.571606900925,0.99,34331.946218705,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"11",727.882930972734,0.99,63787.6406005748,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"12",895.603431640338,0.99,63787.6406005748,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"13",1101.97048541038,0.99,72371.7949523421,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"14",1355.88912214356,0.99,72371.7949523421,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"15",1668.3162896714,0.99,53139.3327973483,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"16",2052.73366157168,0.99,53139.3327973483,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"17",2525.72939042597,0.99,81513.3321716441,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"18",3107.71391003411,0.99,81513.3321716441,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"19",3823.80067446206,0.98981405218699,22021.1329418869,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"20",4704.8898390573,0.98981405218699,22021.1329418869,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"21",5789.00164579807,0.989129747223746,46431.6924617665,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"22",7122.91705043779,0.989129747223746,46431.6924617665,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"23",8764.19638682327,0.99,45089.9178464618,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"24",10783.6631766033,0.99,45089.9178464618,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"25",13268.4602642252,0.99,33970.6983392982,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"26",16325.8101537604,0.99,33970.6983392982,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"27",20087.6418114058,0.99,77673.1639787316,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"28",24716.2835867227,0.99,77673.1639787316,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"29",30411.4679102069,0.99,73313.091393371,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"30",37418.9500297839,0.99,73313.091393371,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"31",46041.1126968825,0.99,40517.4745356355,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"32",56650.0144092706,0.99,40517.4745356355,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"33",69703.4442607612,0.99,46038.1854392309,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"34",85764.6761872304,0.99,46038.1854392309,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"35",105526.775032568,0.752553915857745,72818.8191755869,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"36",129842.503275635,0.752553915857745,72818.8191755869,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"37",159761.118935741,0.1250448426868,36064.2594511774,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"38",196573.65253824,0.1250448426868,36064.2594511774,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"39",241868.616905261,0.0199241058264908,30810.8768006055,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"40",297600.553727738,0.0199241058264908,30810.8768006055,"Free","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",20,6,20,1e-08,1e-08,1e+06
"41",0,0.987624126958908,19888.7912589431,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"42",112.609132057301,0.987624126958908,19888.7912589431,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"43",138.556793700025,0.987624126958908,21431.8746180656,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"44",170.483376700413,0.987624126958908,21431.8746180656,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"45",209.766558210776,0.987624126958908,21407.0508741013,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"46",258.101463000224,0.987624126958908,21407.0508741013,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"47",317.57381048279,0.987624126958908,23193.8510113825,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"48",390.749916456193,0.987624126958908,23193.8510113825,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"49",480.7874332534,0.987624126958908,30496.6934638198,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"50",591.571606900925,0.987624126958908,30496.6934638198,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"51",727.882930972734,0.987624126958908,58071.6271930016,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"52",895.603431640338,0.987624126958908,58071.6271930016,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"53",1101.97048541038,0.987624126958908,66154.2658155655,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"54",1355.88912214356,0.987624126958908,66154.2658155655,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"55",1668.3162896714,0.987624126958908,49604.2571967933,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
"56",2052.73366157168,0.987624126958908,49604.2571967933,"Constant","results/esmc/demographic_scenario_20/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Constant.RDS",20,6,20,1e-08,1e-08,1e+06
