"","t","sigma","pop_size","inference_model","file","demography","replication","sample_size","mutation_rate","recombination_rate","chromosome_length"
"1",0,0.99,34964.1481995028,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"2",155.080411017367,0.99,34964.1481995028,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"3",190.814404868289,0.99,34127.7082488498,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"4",234.782309811919,0.99,34127.7082488498,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"5",288.881403050618,0.99,33474.5843575751,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"6",355.446136871839,0.99,33474.5843575751,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"7",437.348873561709,0.99,32282.3882556546,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"8",538.123831894851,0.99,32282.3882556546,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"9",662.119593666541,0.99,40485.5593827507,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"10",814.686751139482,0.99,40485.5593827507,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"11",1002.40879265758,0.99,57617.9816344314,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"12",1233.38618946706,0.99,57617.9816344314,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"13",1517.58594249256,0.99,60897.2553861401,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
"14",1867.27167250524,0.99,60897.2553861401,"Free","results/esmc/demographic_scenario_12/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",12,6,20,1e-08,1e-08,1e+06
