"","rep","dtype","optim_method","optim_model","dfe","tsigma","masked","file","tsigma_estim"
"34",4,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",105754.2742088
"35",5,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",79110.2150759951
"36",6,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",86612.0024486951
"37",7,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",150637.99556546
"38",8,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",111601.695594105
"39",9,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",103149.085318301
"40",10,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",94974.7441838678
"41",1,"s","BW","OT","0",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_.csv",16282.246321048
"42",2,"s","BW","OT","0",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_.csv",17838.565566922
"43",3,"s","BW","OT","0",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_.csv",17120.1617062706
"44",4,"s","BW","OT","0",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_.csv",16821.9260287644
"45",5,"s","BW","OT","0",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_.csv",13827.7741359559
"46",6,"s","BW","OT","0",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_.csv",15624.4243041534
"47",7,"s","BW","OT","0",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_.csv",17807.4126920694
"48",8,"s","BW","OT","0",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_.csv",16609.7381479409
"49",9,"s","BW","OT","0",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_.csv",16283.3897472353
"50",10,"s","BW","OT","0",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_.csv",16041.7945326215
"51",1,"s","BW","OT","0",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_masked_.csv",24262.3857290429
"52",2,"s","BW","OT","0",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_masked_.csv",26274.6748159551
"53",3,"s","BW","OT","0",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_masked_.csv",25680.1766243999
"54",4,"s","BW","OT","0",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_masked_.csv",20711.4844519891
"55",5,"s","BW","OT","0",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_masked_.csv",21191.326219508
"56",6,"s","BW","OT","0",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_masked_.csv",23341.8486194192
"57",7,"s","BW","OT","0",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_masked_.csv",22105.3346558604
"58",8,"s","BW","OT","0",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_masked_.csv",24724.8269477281
"59",9,"s","BW","OT","0",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_masked_.csv",24262.6335514371
"60",10,"s","BW","OT","0",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__20000_msak_mhs_masked_.csv",19721.7039666617
