"","t","sigma","pop_size","inference_model","file","demography","replication","sample_size","mutation_rate","recombination_rate","chromosome_length"
"1",0,0.99,33585.3807018995,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"2",155.875921948785,0.99,33585.3807018995,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"3",191.793219303645,0.99,34328.598097391,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"4",235.986664976661,0.99,34328.598097391,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"5",290.363268571239,0.99,35667.0672809447,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"6",357.269457338667,0.99,35667.0672809447,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"7",439.592327828302,0.99,39423.8798686312,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"8",540.884228181661,0.99,39423.8798686312,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"9",665.516046972363,0.99,42863.3800544588,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"10",818.865823221906,0.99,42863.3800544588,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"11",1007.55081637984,0.99,38265.8681212447,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"12",1239.71305041581,0.99,38265.8681212447,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"13",1525.37065365434,0.99,27355.7652523536,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"14",1876.85015516247,0.99,27355.7652523536,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"15",2309.3183918901,0.99,43838.3223310374,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"16",2841.43697910729,0.99,43838.3223310374,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
"17",3496.16758546241,0.99,49222.1270533164,"Free","results/esmc/demographic_scenario_7/rep_7.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",7,7,20,1e-08,1e-08,1e+06
